concept,arm,vintage,n_redteam_rows,n_seeds,dataset,scale,mean,sd,min,max
instructions,deepseekv4pro,3,716,10,bbq_substitution,pipeline,0.500955,0.021956477783712663,0.47024999999999995,0.5415000000000001
instructions,deepseekv4pro,3,716,10,bbq_substitution,rank,0.500965,0.02196766626456057,0.4701999999999999,0.5415000000000001
instructions,deepseekv4pro,3,716,10,hc_context_drift,pipeline,0.4951057498140079,0.0019317421882274223,0.4925603145924116,0.4983526410883197
instructions,deepseekv4pro,3,716,10,hc_context_drift,rank,0.49533425443724094,0.0018792718416196933,0.49271973642257416,0.49824635986821125
instructions,deepseekv4pro,3,716,10,hc_contradiction,pipeline,0.48924500000000004,0.0061752395365146364,0.47934999999999994,0.49665
instructions,deepseekv4pro,3,716,10,hc_contradiction,rank,0.48935499999999993,0.006169434063726345,0.47959999999999997,0.4972
instructions,deepseekv4pro,3,716,10,mean,pipeline,0.4602911376839864,0.008372596331229611,0.4493309082704841,0.4760342323258123
instructions,deepseekv4pro,3,716,10,mean,rank,0.4603503102603875,0.008382703766669088,0.4493465399605074,0.47615745553155764
instructions,deepseekv4pro,3,716,10,mm_substitution,pipeline,0.324505,0.021180631220265558,0.27675000000000005,0.35519999999999996
instructions,deepseekv4pro,3,716,10,mm_substitution,rank,0.32455500000000004,0.021216299420754595,0.27665,0.35520000000000007
instructions,deepseekv4pro,3,716,10,oig_context_drift,pipeline,0.4983845254543522,0.014892485705024279,0.47226060155170585,0.5184929322988627
instructions,deepseekv4pro,3,716,10,oig_context_drift,rank,0.49838983951535765,0.014886308054240838,0.47231374216176003,0.5184929322988627
instructions,deepseekv4pro,3,716,10,oig_omission,pipeline,0.5099876885195445,0.004716305228357585,0.5035395506309633,0.518159433671899
instructions,deepseekv4pro,3,716,10,oig_omission,rank,0.5100030778701139,0.004699844842945028,0.5038473376423515,0.518159433671899
instructions,gptoss120b,0,0,10,anthropic_harmless_refusal,pipeline,0.44512999999999997,0.18522859330507746,0.15325,0.6699000000000002
instructions,gptoss120b,0,0,10,anthropic_harmless_refusal,rank,0.4451650000000001,0.18515174414817465,0.1539,0.6699000000000002
instructions,gptoss120b,0,0,10,bbq_substitution,pipeline,0.457935,0.02041033303119879,0.41245000000000004,0.48005000000000003
instructions,gptoss120b,0,0,10,bbq_substitution,rank,0.457615,0.019973942052361904,0.41255,0.4799
instructions,gptoss120b,0,0,10,hc_context_drift,pipeline,0.43964289510043575,0.029423350027088808,0.3805930492082049,0.4753958975449038
instructions,gptoss120b,0,0,10,hc_context_drift,rank,0.43912743118291,0.029224503910644253,0.3804336273780423,0.47497077266447024
