samples,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
instructions_nemotron_600.jsonl,300,4,150,150,350,0.66638,0.75064,0.70761,0.40138,0.82782,0.71237,0.70285,0.66024,0.65234,0.7096,0.82655,0.84297,0.7355,0.83705,0.61505,0.68775,23.3
instructions_nemotron_600.jsonl,300,5,150,150,350,0.70232,0.79294,0.80017,0.45761,0.80165,0.76946,0.77379,0.73737,0.57617,0.8198,0.8663,0.86858,0.77245,0.8896,0.67999,0.65389,23.2
instructions_nemotron_600.jsonl,300,6,150,150,350,0.6345,0.71051,0.6942,0.41263,0.67631,0.70848,0.73919,0.64233,0.56836,0.7453,0.7613,0.77771,0.64355,0.812,0.62074,0.61296,22.9
instructions_nemotron_600.jsonl,300,7,150,150,350,0.62523,0.69803,0.68426,0.38884,0.74518,0.6436,0.67474,0.67355,0.56641,0.73345,0.73795,0.78983,0.61445,0.80875,0.5931,0.60865,22.9
instructions_nemotron_600.jsonl,400,0,200,200,450,0.67539,0.75026,0.63279,0.39317,0.89624,0.80147,0.75087,0.65748,0.5957,0.62345,0.76975,0.90929,0.8028,0.86225,0.6167,0.66759,25.5
instructions_nemotron_600.jsonl,400,1,200,200,450,0.68097,0.75012,0.8058,0.37976,0.79385,0.67388,0.78936,0.68549,0.63867,0.8006,0.6929,0.90971,0.6566,0.921,0.61888,0.65112,27.4
instructions_nemotron_600.jsonl,400,2,200,200,450,0.69985,0.78831,0.78503,0.41436,0.84298,0.80709,0.76687,0.65565,0.62695,0.78645,0.8168,0.88182,0.81255,0.89745,0.63195,0.69114,30.4
instructions_nemotron_600.jsonl,400,3,200,200,450,0.65934,0.72731,0.73486,0.41652,0.75482,0.73573,0.69031,0.6933,0.58984,0.7669,0.78365,0.76666,0.69315,0.81275,0.61648,0.65159,24.6
instructions_nemotron_600.jsonl,400,4,200,200,450,0.68748,0.7601,0.74092,0.41912,0.72957,0.78979,0.8564,0.62029,0.65625,0.742,0.8233,0.78579,0.7607,0.9499,0.56882,0.69021,26.5
instructions_nemotron_600.jsonl,400,5,200,200,450,0.68147,0.75182,0.67258,0.3737,0.82002,0.78547,0.83521,0.61341,0.66992,0.6292,0.7923,0.85227,0.7876,0.91305,0.59305,0.69529,25.0
