samples,base,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,400,2,200,200,450,0.61421,0.68177,0.54628,0.44334,0.72681,0.65787,0.69723,0.64004,0.58789,0.5605,0.76505,0.824,0.61025,0.79465,0.60697,0.61096,62.6
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,400,3,200,200,450,0.61668,0.66441,0.54585,0.46713,0.72452,0.67171,0.68512,0.65014,0.57227,0.58785,0.7318,0.76544,0.622,0.75425,0.5906,0.59895,30.3
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,400,4,200,200,450,0.63265,0.70178,0.61375,0.37457,0.6832,0.72967,0.73702,0.64968,0.64062,0.6097,0.79225,0.77506,0.69805,0.8179,0.57041,0.64912,31.0
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,400,5,200,200,450,0.60932,0.68213,0.52206,0.44031,0.6832,0.67301,0.70588,0.63728,0.60352,0.5509,0.7801,0.8021,0.62935,0.77625,0.59709,0.63912,28.3
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,400,6,200,200,450,0.58342,0.6394,0.69723,0.3763,0.5528,0.58391,0.67734,0.62213,0.57422,0.75715,0.67235,0.61856,0.56365,0.7087,0.56228,0.59311,26.0
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,400,7,200,200,450,0.64229,0.70581,0.6237,0.51384,0.81818,0.66609,0.64317,0.64509,0.58594,0.69915,0.7806,0.88336,0.641,0.74565,0.57243,0.6185,26.9
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,500,0,250,250,550,0.62775,0.68958,0.62933,0.39144,0.68825,0.77033,0.69896,0.64371,0.57227,0.6985,0.7568,0.68647,0.7169,0.8022,0.57599,0.59018,28.8
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,500,1,250,250,550,0.60336,0.67509,0.58348,0.37976,0.67677,0.72751,0.70112,0.59826,0.55664,0.6329,0.7141,0.71235,0.67355,0.81675,0.56473,0.61127,28.5
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,500,2,250,250,550,0.6096,0.69199,0.55061,0.38798,0.76446,0.64403,0.7141,0.62397,0.58203,0.59165,0.79125,0.84892,0.61795,0.80755,0.58444,0.60219,33.5
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,500,3,250,250,550,0.61708,0.67068,0.48616,0.4455,0.71304,0.72405,0.72405,0.63499,0.5918,0.47455,0.82655,0.78861,0.63075,0.7591,0.59703,0.61819,29.6
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,500,4,250,250,550,0.62123,0.68896,0.59299,0.45069,0.71717,0.70242,0.66609,0.68411,0.53516,0.58345,0.79675,0.79897,0.6467,0.7676,0.61537,0.61388,29.2
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,500,5,250,250,550,0.62178,0.68457,0.56964,0.40571,0.75023,0.6808,0.73919,0.60927,0.59766,0.603,0.75135,0.82304,0.62845,0.85645,0.54198,0.58772,29.1
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,500,6,250,250,550,0.62219,0.6964,0.57007,0.30839,0.77732,0.71972,0.7301,0.66575,0.58398,0.5804,0.6355,0.85014,0.72205,0.8424,0.6226,0.62173,27.8
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,500,7,250,250,550,0.60734,0.67735,0.56531,0.34862,0.66162,0.72967,0.72145,0.62902,0.5957,0.603,0.6751,0.72744,0.7201,0.83095,0.55543,0.62942,28.4
