arm,condition,seed,n_redteam_rows,n_train,n_val,dataset,auroc_pipeline,auroc_rank
nemotron,v2,45,630,518,112,oig_context_drift,0.6887554469125305,0.6894994154532894
nemotron,v2,45,630,518,112,oig_omission,0.541243459526008,0.5377039088950447
nemotron,v2,45,630,518,112,mean,0.768806749019635,0.7696514200506124
nemotron,v2,46,630,518,112,anthropic_harmless_refusal,0.8869,0.8868999999999999
nemotron,v2,46,630,518,112,bbq_substitution,0.96185,0.9616499999999999
nemotron,v2,46,630,518,112,hc_context_drift,0.8728345201402913,0.872249973429695
nemotron,v2,46,630,518,112,hc_contradiction,0.7171500000000001,0.7171500000000001
nemotron,v2,46,630,518,112,mm_substitution,0.8963500000000001,0.89635
nemotron,v2,46,630,518,112,oig_context_drift,0.6798278244234245,0.679987246253587
nemotron,v2,46,630,518,112,oig_omission,0.6925207756232686,0.6919052016004925
nemotron,v2,46,630,518,112,mean,0.8153475885981407,0.8151703458976822
nemotron,v2,47,630,518,112,anthropic_harmless_refusal,0.7826000000000001,0.7825500000000001
nemotron,v2,47,630,518,112,bbq_substitution,0.93355,0.9320499999999999
nemotron,v2,47,630,518,112,hc_context_drift,0.8081623977043257,0.8569454777340845
nemotron,v2,47,630,518,112,hc_contradiction,0.87945,0.87675
nemotron,v2,47,630,518,112,mm_substitution,0.9615,0.9711
nemotron,v2,47,630,518,112,oig_context_drift,0.7043787862684664,0.706876394941014
nemotron,v2,47,630,518,112,oig_omission,0.6566635887965527,0.6554324407510003
nemotron,v2,47,630,518,112,mean,0.8180435389670493,0.8259577590608711
nemotron,v2,48,630,518,112,anthropic_harmless_refusal,0.82615,0.8261000000000001
nemotron,v2,48,630,518,112,bbq_substitution,0.95105,0.9511
nemotron,v2,48,630,518,112,hc_context_drift,0.8614092889786374,0.8691678180465511
nemotron,v2,48,630,518,112,hc_contradiction,0.7577,0.75745
nemotron,v2,48,630,518,112,mm_substitution,0.9446,0.9447
nemotron,v2,48,630,518,112,oig_context_drift,0.6824848549261348,0.6875863534913381
nemotron,v2,48,630,518,112,oig_omission,0.6562019082794707,0.6560480147737766
nemotron,v2,48,630,518,112,mean,0.8113708645977491,0.8131645980445236
nemotron,v2,49,630,518,112,anthropic_harmless_refusal,0.7775,0.77755
nemotron,v2,49,630,518,112,bbq_substitution,0.9581999999999999,0.95785
nemotron,v2,49,630,518,112,hc_context_drift,0.853969603571049,0.8574237432245722
nemotron,v2,49,630,518,112,hc_contradiction,0.7300000000000001,0.73
nemotron,v2,49,630,518,112,mm_substitution,0.89395,0.89615
nemotron,v2,49,630,518,112,oig_context_drift,0.6878520565416091,0.6893399936231268
nemotron,v2,49,630,518,112,oig_omission,0.5897199138196368,0.5878731917513081
nemotron,v2,49,630,518,112,mean,0.7844559391331849,0.7851695612284296
nemotron,v2,50,630,518,112,anthropic_harmless_refusal,0.73665,0.7372500000000001
nemotron,v2,50,630,518,112,bbq_substitution,0.9352,0.9335
nemotron,v2,50,630,518,112,hc_context_drift,0.8209161441173345,0.8980763099160377
nemotron,v2,50,630,518,112,hc_contradiction,0.84965,0.8479
nemotron,v2,50,630,518,112,mm_substitution,0.97425,0.97605
nemotron,v2,50,630,518,112,oig_context_drift,0.7056010202997129,0.7080454883622064
nemotron,v2,50,630,518,112,oig_omission,0.6015697137580794,0.6020313942751616
nemotron,v2,50,630,518,112,mean,0.8034052683107324,0.8146933132219151
nemotron,v2,51,630,518,112,anthropic_harmless_refusal,0.76385,0.7638500000000001
nemotron,v2,51,630,518,112,bbq_substitution,0.9835,0.9835
nemotron,v2,51,630,518,112,hc_context_drift,0.7960994792220214,0.7961526198320756
nemotron,v2,51,630,518,112,hc_contradiction,0.75995,0.7598499999999999
nemotron,v2,51,630,518,112,mm_substitution,0.84745,0.8496000000000001
nemotron,v2,51,630,518,112,oig_context_drift,0.6695185460729088,0.6697842491231799
nemotron,v2,51,630,518,112,oig_omission,0.5749461372730071,0.5744844567559249
nemotron,v2,51,630,518,112,mean,0.7707591660811338,0.7710316179587401
nemotron,v3only,42,296,244,52,anthropic_harmless_refusal,0.42615000000000003,0.42615000000000003
nemotron,v3only,42,296,244,52,bbq_substitution,0.6984500000000001,0.6984500000000001
nemotron,v3only,42,296,244,52,hc_context_drift,0.6330640875757254,0.6330640875757254
nemotron,v3only,42,296,244,52,hc_contradiction,0.58125,0.58125
nemotron,v3only,42,296,244,52,mm_substitution,0.7621,0.7621
nemotron,v3only,42,296,244,52,oig_context_drift,0.5986821128706558,0.5986289722606016
nemotron,v3only,42,296,244,52,oig_omission,0.600492459218221,0.600492459218221
nemotron,v3only,42,296,244,52,mean,0.6143126656663718,0.6143050741506497
nemotron,v3only,43,296,244,52,anthropic_harmless_refusal,0.4628,0.4628
nemotron,v3only,43,296,244,52,bbq_substitution,0.7102999999999999,0.7102999999999999
nemotron,v3only,43,296,244,52,hc_context_drift,0.5838558826655329,0.5838558826655329
nemotron,v3only,43,296,244,52,hc_contradiction,0.57215,0.57215
nemotron,v3only,43,296,244,52,mm_substitution,0.7010500000000001,0.7010500000000001
nemotron,v3only,43,296,244,52,oig_context_drift,0.5889573812307366,0.5889573812307366
nemotron,v3only,43,296,244,52,oig_omission,0.5364727608494921,0.5363188673437982
nemotron,v3only,43,296,244,52,mean,0.5936551463922516,0.5936331616057239
nemotron,v3only,44,296,244,52,anthropic_harmless_refusal,0.36155000000000004,0.36155000000000004
nemotron,v3only,44,296,244,52,bbq_substitution,0.6940999999999999,0.6940999999999999
nemotron,v3only,44,296,244,52,hc_context_drift,0.7398767137846742,0.7398767137846742
nemotron,v3only,44,296,244,52,hc_contradiction,0.6491500000000001,0.6491500000000001
nemotron,v3only,44,296,244,52,mm_substitution,0.8083,0.80815
nemotron,v3only,44,296,244,52,oig_context_drift,0.5941120204059942,0.5941120204059942
nemotron,v3only,44,296,244,52,oig_omission,0.5954139735303171,0.5954139735303171
nemotron,v3only,44,296,244,52,mean,0.6346432439601408,0.6346218153887122
nemotron,v3only,45,296,244,52,anthropic_harmless_refusal,0.41204999999999997,0.41204999999999997
nemotron,v3only,45,296,244,52,bbq_substitution,0.7806,0.7806
nemotron,v3only,45,296,244,52,hc_context_drift,0.6542140503772983,0.6542140503772983
nemotron,v3only,45,296,244,52,hc_contradiction,0.63955,0.63955
nemotron,v3only,45,296,244,52,mm_substitution,0.7811,0.7811
nemotron,v3only,45,296,244,52,oig_context_drift,0.6138803273461579,0.6138803273461579
nemotron,v3only,45,296,244,52,oig_omission,0.5851031086488151,0.5851031086488151
nemotron,v3only,45,296,244,52,mean,0.6380710694817531,0.6380710694817531
nemotron,v3only,46,296,244,52,anthropic_harmless_refusal,0.3441,0.3441
nemotron,v3only,46,296,244,52,bbq_substitution,0.7013500000000001,0.7013500000000001
nemotron,v3only,46,296,244,52,hc_context_drift,0.6109044531831226,0.6109044531831226
nemotron,v3only,46,296,244,52,hc_contradiction,0.5927500000000001,0.5927500000000001
nemotron,v3only,46,296,244,52,mm_substitution,0.767,0.767
nemotron,v3only,46,296,244,52,oig_context_drift,0.6092570942714423,0.6093102348814964
nemotron,v3only,46,296,244,52,oig_omission,0.551708217913204,0.551708217913204
nemotron,v3only,46,296,244,52,mean,0.5967242521953955,0.5967318437111176
nemotron,v3only,47,296,244,52,anthropic_harmless_refusal,0.5036999999999999,0.5036999999999999
nemotron,v3only,47,296,244,52,bbq_substitution,0.74235,0.74235
nemotron,v3only,47,296,244,52,hc_context_drift,0.6366776490594112,0.6366245084493569
nemotron,v3only,47,296,244,52,hc_contradiction,0.7105000000000001,0.7105000000000001
nemotron,v3only,47,296,244,52,mm_substitution,0.8408000000000001,0.8408500000000001
nemotron,v3only,47,296,244,52,oig_context_drift,0.6225953873950474,0.6225953873950474
nemotron,v3only,47,296,244,52,oig_omission,0.5998768851954448,0.5998768851954448
nemotron,v3only,47,296,244,52,mean,0.6652142745214149,0.6652138258628356
nemotron,v3only,48,296,244,52,anthropic_harmless_refusal,0.40835000000000005,0.40835000000000005
nemotron,v3only,48,296,244,52,bbq_substitution,0.69665,0.69665
nemotron,v3only,48,296,244,52,hc_context_drift,0.6907216494845362,0.6907216494845362
nemotron,v3only,48,296,244,52,hc_contradiction,0.6523000000000001,0.6523000000000001
nemotron,v3only,48,296,244,52,mm_substitution,0.80715,0.80715
nemotron,v3only,48,296,244,52,oig_context_drift,0.5976193006695716,0.5976193006695716
nemotron,v3only,48,296,244,52,oig_omission,0.5817174515235458,0.5817174515235458
nemotron,v3only,48,296,244,52,mean,0.6335012002396648,0.6335012002396648
nemotron,v3only,49,296,244,52,anthropic_harmless_refusal,0.28,0.28
nemotron,v3only,49,296,244,52,bbq_substitution,0.6927500000000001,0.6927500000000001
nemotron,v3only,49,296,244,52,hc_context_drift,0.7136252524178976,0.7136252524178976
nemotron,v3only,49,296,244,52,hc_contradiction,0.7438,0.7438
nemotron,v3only,49,296,244,52,mm_substitution,0.8573,0.8573000000000001
nemotron,v3only,49,296,244,52,oig_context_drift,0.6013922839834202,0.6013922839834202
nemotron,v3only,49,296,244,52,oig_omission,0.5804863034779932,0.5804863034779932
nemotron,v3only,49,296,244,52,mean,0.6384791199827587,0.6384791199827587
nemotron,v3only,50,296,244,52,anthropic_harmless_refusal,0.39715,0.39715
nemotron,v3only,50,296,244,52,bbq_substitution,0.6924,0.6924
nemotron,v3only,50,296,244,52,hc_context_drift,0.6604846423636943,0.6604846423636943
nemotron,v3only,50,296,244,52,hc_contradiction,0.5973,0.5973
nemotron,v3only,50,296,244,52,mm_substitution,0.77945,0.77945
nemotron,v3only,50,296,244,52,oig_context_drift,0.6143054522265916,0.6143054522265915
nemotron,v3only,50,296,244,52,oig_omission,0.6008002462296091,0.600492459218221
nemotron,v3only,50,296,244,52,mean,0.6202700486885565,0.6202260791155011
nemotron,v3only,51,296,244,52,anthropic_harmless_refusal,0.4085,0.4085
nemotron,v3only,51,296,244,52,bbq_substitution,0.71495,0.71495
nemotron,v3only,51,296,244,52,hc_context_drift,0.7009246466149432,0.7009246466149432
nemotron,v3only,51,296,244,52,hc_contradiction,0.6002500000000001,0.6002500000000001
nemotron,v3only,51,296,244,52,mm_substitution,0.8156,0.8156
nemotron,v3only,51,296,244,52,oig_context_drift,0.656499096609629,0.656499096609629
nemotron,v3only,51,296,244,52,oig_omission,0.5843336411203448,0.5843336411203448
nemotron,v3only,51,296,244,52,mean,0.6401510549064167,0.6401510549064167
