dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
mean,0.8159792975917977,0.7589938027449786,0.2441266506602641,0.01,linear_then_rolling_max,neardraw_d0_s404,neardraw,725,81,72,404
mean,0.7844030377021286,0.7623103308487574,0.3318647085699951,0.01,linear_then_rolling_max,neardraw_d0_s42,neardraw,725,81,72,42
mean,0.7802099365386411,0.767297150203365,0.1325255102040816,0.01,linear_then_rolling_max,neardraw_d1_s42,neardraw,725,81,72,42
mean,0.7797811917945618,0.7616647479887477,0.2210864345738295,0.01,linear_then_rolling_max,neardraw_d2_s42,neardraw,725,81,72,42
mean,0.7763793567864352,0.7573245865510383,0.2142286018885166,0.01,linear_then_rolling_max,neardraw_d3_s42,neardraw,725,81,72,42
mean,0.7762437525480668,0.7559906537241763,0.2703106242496998,0.01,linear_then_rolling_max,neardraw_d4_s42,neardraw,725,81,72,42
mean,0.8238471764545638,0.7629473580476966,0.1020408163265306,0.01,linear_then_rolling_max,neardraw_d5_s42,neardraw,725,81,72,42
mean,0.8041649554974983,0.7776488393865008,0.130484693877551,0.01,linear_then_rolling_max,neardraw_d6_s42,neardraw,725,81,72,42
mean,0.7605056026297224,0.745987652523696,0.06875,0.01,linear_then_rolling_max,neardraw_d7_s42,neardraw,725,81,72,42
mean,0.7706071260991139,0.7512221941015211,0.1643367346938775,0.01,linear_then_rolling_max,neardraw_d8_s42,neardraw,725,81,72,42
mean,0.832307202697167,0.766597467345147,0.3384371360484492,0.01,linear_then_rolling_max,neardraw_d9_s42,neardraw,725,81,72,42
mean,0.8691194903002522,0.7117994548565696,0.294546818727491,0.01,linear_then_softmax,far_s101,far,725,81,72,101
mean,0.8814279336462502,0.7133263156008672,0.2680867346938775,0.01,linear_then_softmax,far_s202,far,725,81,72,202
mean,0.8942319011989575,0.7609178746125316,0.4618202280912364,0.01,linear_then_softmax,far_s303,far,725,81,72,303
mean,0.8956823790907591,0.7632661908046802,0.4588955582232893,0.01,linear_then_softmax,far_s404,far,725,81,72,404
mean,0.8812448405142984,0.7109289051441472,0.3491731692677071,0.01,linear_then_softmax,far_s42,far,725,81,72,42
mean,0.8637021976546229,0.72303187319704,0.3843157262905162,0.01,linear_then_softmax,full_s101,full,806,0,72,101
mean,0.8748150555249564,0.7010620106251455,0.3401620648259303,0.01,linear_then_softmax,full_s202,full,806,0,72,202
mean,0.8365589744975341,0.6959994333554318,0.2749489795918367,0.01,linear_then_softmax,full_s303,full,806,0,72,303
mean,0.8785885003330381,0.7055947976205408,0.4425045018007203,0.01,linear_then_softmax,full_s404,full,806,0,72,404
mean,0.8879610713241445,0.7406126032502554,0.4836239495798319,0.01,linear_then_softmax,full_s42,full,806,0,72,42
mean,0.8887486615096797,0.7402122453458996,0.4660174069627851,0.01,linear_then_softmax,near_s101,near,725,81,72,101
mean,0.909038502541009,0.759118330167888,0.5632758103241297,0.01,linear_then_softmax,near_s202,near,725,81,72,202
mean,0.8450880558405219,0.6640490785866586,0.3815111044417767,0.01,linear_then_softmax,near_s303,near,725,81,72,303
mean,0.8793559712913398,0.6983351176291412,0.3762139855942377,0.01,linear_then_softmax,near_s404,near,725,81,72,404
mean,0.8537064519833556,0.677951288724445,0.3516296518607442,0.01,linear_then_softmax,near_s42,near,725,81,72,42
mean,0.8927370472896208,0.7306397148411603,0.3928391356542617,0.01,linear_then_softmax,neardraw_d0_s101,neardraw,725,81,72,101
mean,0.8900467949519147,0.7353480496676283,0.4938250300120048,0.01,linear_then_softmax,neardraw_d0_s202,neardraw,725,81,72,202
mean,0.9017010883689596,0.7639592441454195,0.494078631452581,0.01,linear_then_softmax,neardraw_d0_s303,neardraw,725,81,72,303
mean,0.8922812003118766,0.7565846450520506,0.4276290516206482,0.01,linear_then_softmax,neardraw_d0_s404,neardraw,725,81,72,404
mean,0.9054976200608376,0.7731561990467828,0.562297418967587,0.01,linear_then_softmax,neardraw_d0_s42,neardraw,725,81,72,42
mean,0.8627195986820757,0.7104729242443246,0.3975405162064825,0.01,linear_then_softmax,neardraw_d1_s42,neardraw,725,81,72,42
mean,0.8674660477874431,0.700013639784272,0.4464315726290516,0.01,linear_then_softmax,neardraw_d2_s42,neardraw,725,81,72,42
mean,0.8520945007838504,0.7093238900037626,0.3582743097238896,0.01,linear_then_softmax,neardraw_d3_s42,neardraw,725,81,72,42
mean,0.86276673298617,0.7099944343409006,0.3288955582232893,0.01,linear_then_softmax,neardraw_d4_s42,neardraw,725,81,72,42
mean,0.8715698937437779,0.6870801902850693,0.4601695678271309,0.01,linear_then_softmax,neardraw_d5_s42,neardraw,725,81,72,42
mean,0.8800929811834195,0.7495298977800076,0.4773199279711885,0.01,linear_then_softmax,neardraw_d6_s42,neardraw,725,81,72,42
mean,0.8810747533138372,0.7251239339019189,0.4852956182472989,0.01,linear_then_softmax,neardraw_d7_s42,neardraw,725,81,72,42
mean,0.8906013859667747,0.7549746241780294,0.4589930972388956,0.01,linear_then_softmax,neardraw_d8_s42,neardraw,725,81,72,42
mean,0.891952789448331,0.7218101830284352,0.4331047418967587,0.01,linear_then_softmax,neardraw_d9_s42,neardraw,725,81,72,42
mean,0.774841127455142,0.6757386312734048,0.0357142857142857,0.01,pre_mean,far_s101,far,725,81,72,101
mean,0.773032094867959,0.673246033488022,0.1057142857142857,0.01,pre_mean,far_s202,far,725,81,72,202
mean,0.7718358231392835,0.6682504345021592,0.1107142857142857,0.01,pre_mean,far_s303,far,725,81,72,303
mean,0.7724558342360713,0.674465047212915,0.0382653061224489,0.01,pre_mean,far_s404,far,725,81,72,404
mean,0.771013738265017,0.6675831937252513,0.0,0.01,pre_mean,far_s42,far,725,81,72,42
mean,0.7720595526569916,0.6775881210693231,0.0,0.01,pre_mean,full_s101,full,806,0,72,101
mean,0.7756164704056655,0.6744469392234507,0.0,0.01,pre_mean,full_s202,full,806,0,72,202
mean,0.7734466571892669,0.6706640268047518,0.0,0.01,pre_mean,full_s303,full,806,0,72,303
mean,0.7713429138107922,0.6719562675816595,0.0,0.01,pre_mean,full_s404,full,806,0,72,404
mean,0.7752902182566982,0.6714190526957051,0.0,0.01,pre_mean,full_s42,full,806,0,72,42
mean,0.7762238596327962,0.6739352345415779,0.07,0.01,pre_mean,near_s101,near,725,81,72,101
mean,0.7719220169691537,0.6720185424916235,0.07625,0.01,pre_mean,near_s202,near,725,81,72,202
mean,0.7751990539507839,0.6726342141334145,0.0,0.01,pre_mean,near_s303,near,725,81,72,303
mean,0.7741410739171954,0.6807057188547061,0.06875,0.01,pre_mean,near_s404,near,725,81,72,404
mean,0.77068849255097,0.6738748857752055,0.0,0.01,pre_mean,near_s42,near,725,81,72,42
mean,0.7799852054309596,0.6701273606457508,0.0,0.01,pre_mean,neardraw_d0_s101,neardraw,725,81,72,101
mean,0.7795775505151138,0.6719326835211697,0.0,0.01,pre_mean,neardraw_d0_s202,neardraw,725,81,72,202
mean,0.7802960776967202,0.6764097243374962,0.0,0.01,pre_mean,neardraw_d0_s303,neardraw,725,81,72,303
mean,0.7760310543373221,0.6739538912579958,0.0,0.01,pre_mean,neardraw_d0_s404,neardraw,725,81,72,404
mean,0.7755273512324308,0.674483703929333,0.0,0.01,pre_mean,neardraw_d0_s42,neardraw,725,81,72,42
mean,0.7740805844966279,0.6726180322875419,0.07875,0.01,pre_mean,neardraw_d1_s42,neardraw,725,81,72,42
mean,0.7818198586829372,0.6757847243374963,0.09125,0.01,pre_mean,neardraw_d2_s42,neardraw,725,81,72,42
mean,0.784640514807318,0.689513592750533,0.09,0.01,pre_mean,neardraw_d3_s42,neardraw,725,81,72,42
mean,0.7798535853516386,0.6814239800397771,0.0,0.01,pre_mean,neardraw_d4_s42,neardraw,725,81,72,42
mean,0.7761134865872106,0.6738219392234506,0.1092091836734693,0.01,pre_mean,neardraw_d5_s42,neardraw,725,81,72,42
mean,0.7794971614006392,0.670108703929333,0.08125,0.01,pre_mean,neardraw_d6_s42,neardraw,725,81,72,42
mean,0.772720035147414,0.676349375571124,0.08375,0.01,pre_mean,neardraw_d7_s42,neardraw,725,81,72,42
mean,0.7764387865931587,0.6865279469996953,0.0,0.01,pre_mean,neardraw_d8_s42,neardraw,725,81,72,42
mean,0.7721222769678029,0.6782567392628693,0.07125,0.01,pre_mean,neardraw_d9_s42,neardraw,725,81,72,42
mean,0.7740558148662029,0.6704011194029851,0.0780102040816326,0.01,sklearn,far_s42,far,725,81,72,42
mean,0.7799507537089104,0.6708544014620773,0.0994132653061224,0.01,sklearn,full_s42,full,806,0,72,42
