dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_balanced_refusal,0.4421000000000001,0.4525,0.0,0.01,difference_of_means,neardraw_d4_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.6362973760932945,0.5816326530612245,0.0,0.01,difference_of_means,neardraw_d4_s42,neardraw,725,81,72,42
mean,0.5301807652752729,0.5178615214742613,0.0,0.01,difference_of_means,neardraw_d4_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,difference_of_means,neardraw_d5_s42,neardraw,725,81,72,42
eval_ant_hh,0.5504566718645578,0.5447761194029851,0.0,0.01,difference_of_means,neardraw_d5_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.4586,0.4675,0.0,0.01,difference_of_means,neardraw_d5_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.6861724281549355,0.6275510204081632,0.0,0.01,difference_of_means,neardraw_d5_s42,neardraw,725,81,72,42
mean,0.5488072750048734,0.5349567849527871,0.0,0.01,difference_of_means,neardraw_d5_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,difference_of_means,neardraw_d6_s42,neardraw,725,81,72,42
eval_ant_hh,0.5379817331254177,0.5447761194029851,0.0,0.01,difference_of_means,neardraw_d6_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.427425,0.445,0.0,0.01,difference_of_means,neardraw_d6_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.6383798417326114,0.576530612244898,0.0,0.01,difference_of_means,neardraw_d6_s42,neardraw,725,81,72,42
mean,0.5259466437145073,0.5165766829119708,0.0,0.01,difference_of_means,neardraw_d6_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,difference_of_means,neardraw_d7_s42,neardraw,725,81,72,42
eval_ant_hh,0.5549120071285364,0.5597014925373134,0.0,0.01,difference_of_means,neardraw_d7_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.4743375,0.4675,0.0,0.01,difference_of_means,neardraw_d7_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.6302582257392754,0.5816326530612245,0.0,0.01,difference_of_means,neardraw_d7_s42,neardraw,725,81,72,42
mean,0.539876933216953,0.5272085363996345,0.0,0.01,difference_of_means,neardraw_d7_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,difference_of_means,neardraw_d8_s42,neardraw,725,81,72,42
eval_ant_hh,0.5635999108932948,0.5671641791044776,0.0,0.01,difference_of_means,neardraw_d8_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.5033249999999999,0.4925,0.0,0.01,difference_of_means,neardraw_d8_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.6306747188671388,0.576530612244898,0.0,0.01,difference_of_means,neardraw_d8_s42,neardraw,725,81,72,42
mean,0.5493999074401084,0.5340486978373439,0.0,0.01,difference_of_means,neardraw_d8_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,difference_of_means,neardraw_d9_s42,neardraw,725,81,72,42
eval_ant_hh,0.5467810202717754,0.5447761194029851,0.0,0.01,difference_of_means,neardraw_d9_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.472075,0.47,0.0,0.01,difference_of_means,neardraw_d9_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.6344752186588922,0.5612244897959183,0.0,0.01,difference_of_means,neardraw_d9_s42,neardraw,725,81,72,42
mean,0.538332809732667,0.5190001522997258,0.0,0.01,difference_of_means,neardraw_d9_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,lda,far_s42,far,725,81,72,42
eval_ant_hh,0.543328135442192,0.5298507462686567,0.0,0.01,lda,far_s42,far,725,81,72,42
eval_balanced_refusal,0.4402749999999999,0.4525,0.0,0.01,lda,far_s42,far,725,81,72,42
eval_daily_dilemmas,0.6336422324031654,0.5714285714285714,0.0,0.01,lda,far_s42,far,725,81,72,42
mean,0.5293113419613393,0.513444829424307,0.0,0.01,lda,far_s42,far,725,81,72,42
eval_ai_dilemmas,0.5073529411764706,0.5,0.0,0.01,lda,full_s42,full,806,0,72,42
eval_ant_hh,0.5946758743595455,0.5895522388059702,0.0,0.01,lda,full_s42,full,806,0,72,42
eval_balanced_refusal,0.5455625,0.52,0.0,0.01,lda,full_s42,full,806,0,72,42
eval_daily_dilemmas,0.676905456059975,0.6326530612244898,0.0,0.01,lda,full_s42,full,806,0,72,42
mean,0.5811241928989977,0.5605513250076151,0.0,0.01,lda,full_s42,full,806,0,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,lda,near_s42,near,725,81,72,42
eval_ant_hh,0.5263978614390733,0.5223880597014925,0.0,0.01,lda,near_s42,near,725,81,72,42
eval_balanced_refusal,0.4504624999999999,0.445,0.0,0.01,lda,near_s42,near,725,81,72,42
eval_daily_dilemmas,0.6100583090379008,0.5663265306122449,0.0,0.01,lda,near_s42,near,725,81,72,42
mean,0.5217296676192436,0.5084286475784343,0.0,0.01,lda,near_s42,near,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,lda,neardraw_d0_s42,neardraw,725,81,72,42
