packed gptoss120b: train 662 rows / 2.84 GB, val 166 rows / 0.71 GB, eval 866 rows / 0.81 GB (host)
  seed 69 pass 2/7  (18s/pass, 59m elapsed, 49m left)
  seed 69 pass 3/7  (18s/pass, 59m elapsed, 49m left)
  seed 69 pass 4/7  (18s/pass, 59m elapsed, 48m left)
  seed 69 pass 5/7  (18s/pass, 60m elapsed, 48m left)
  seed 69 pass 6/7  (18s/pass, 60m elapsed, 48m left)
  seed 69 pass 7/7  (18s/pass, 60m elapsed, 47m left)
  seed 70 pass 1/7  (18s/pass, 60m elapsed, 47m left)
  seed 70 pass 2/7  (18s/pass, 61m elapsed, 47m left)
  seed 70 pass 3/7  (18s/pass, 61m elapsed, 46m left)
  seed 70 pass 4/7  (18s/pass, 61m elapsed, 46m left)
  seed 70 pass 5/7  (18s/pass, 62m elapsed, 46m left)
  seed 70 pass 6/7  (18s/pass, 62m elapsed, 45m left)
  seed 70 pass 7/7  (18s/pass, 62m elapsed, 45m left)
  seed 71 pass 1/7  (18s/pass, 62m elapsed, 45m left)
  seed 71 pass 2/7  (18s/pass, 63m elapsed, 44m left)
  seed 71 pass 3/7  (18s/pass, 63m elapsed, 44m left)
  seed 71 pass 4/7  (18s/pass, 63m elapsed, 44m left)
  seed 71 pass 5/7  (18s/pass, 63m elapsed, 43m left)
  seed 71 pass 6/7  (18s/pass, 64m elapsed, 43m left)
  seed 71 pass 7/7  (18s/pass, 64m elapsed, 43m left)
  seed 72 pass 1/7  (18s/pass, 64m elapsed, 42m left)
  seed 72 pass 2/7  (18s/pass, 64m elapsed, 42m left)
  seed 72 pass 3/7  (18s/pass, 65m elapsed, 42m left)
  seed 72 pass 4/7  (18s/pass, 65m elapsed, 41m left)
  seed 72 pass 5/7  (18s/pass, 65m elapsed, 41m left)
  seed 72 pass 6/7  (18s/pass, 66m elapsed, 41m left)
  seed 72 pass 7/7  (18s/pass, 66m elapsed, 40m left)
  seed 73 pass 1/7  (18s/pass, 66m elapsed, 40m left)
  seed 73 pass 2/7  (18s/pass, 67m elapsed, 40m left)
  seed 73 pass 3/7  (18s/pass, 67m elapsed, 40m left)
  seed 73 pass 4/7  (18s/pass, 67m elapsed, 39m left)
  seed 73 pass 5/7  (18s/pass, 68m elapsed, 39m left)
  seed 73 pass 6/7  (18s/pass, 68m elapsed, 39m left)
  seed 73 pass 7/7  (18s/pass, 68m elapsed, 38m left)
  seed 74 pass 1/7  (18s/pass, 69m elapsed, 38m left)
  seed 74 pass 2/7  (18s/pass, 69m elapsed, 38m left)
  seed 74 pass 3/7  (18s/pass, 69m elapsed, 37m left)
  seed 74 pass 4/7  (18s/pass, 69m elapsed, 37m left)
  seed 74 pass 5/7  (18s/pass, 70m elapsed, 37m left)
  seed 74 pass 6/7  (18s/pass, 70m elapsed, 37m left)
  seed 74 pass 7/7  (18s/pass, 70m elapsed, 36m left)
  seed 75 pass 1/7  (18s/pass, 71m elapsed, 36m left)
  seed 75 pass 2/7  (18s/pass, 71m elapsed, 36m left)
  seed 75 pass 3/7  (18s/pass, 71m elapsed, 35m left)
  seed 75 pass 4/7  (18s/pass, 72m elapsed, 35m left)
  seed 75 pass 5/7  (18s/pass, 72m elapsed, 35m left)
  seed 75 pass 6/7  (18s/pass, 72m elapsed, 34m left)
  seed 75 pass 7/7  (18s/pass, 72m elapsed, 34m left)
  seed 76 pass 1/7  (18s/pass, 73m elapsed, 34m left)
  seed 76 pass 2/7  (18s/pass, 73m elapsed, 33m left)
  seed 76 pass 3/7  (18s/pass, 73m elapsed, 33m left)
  seed 76 pass 4/7  (18s/pass, 74m elapsed, 33m left)
  seed 76 pass 5/7  (18s/pass, 74m elapsed, 33m left)
  seed 76 pass 6/7  (18s/pass, 74m elapsed, 32m left)
  seed 76 pass 7/7  (18s/pass, 75m elapsed, 32m left)
  seed 77 pass 1/7  (18s/pass, 75m elapsed, 32m left)
  seed 77 pass 2/7  (18s/pass, 75m elapsed, 31m left)
  seed 77 pass 3/7  (18s/pass, 76m elapsed, 31m left)
  seed 77 pass 4/7  (18s/pass, 76m elapsed, 31m left)
  seed 77 pass 5/7  (18s/pass, 77m elapsed, 31m left)
  seed 77 pass 6/7  (18s/pass, 77m elapsed, 30m left)
  seed 77 pass 7/7  (18s/pass, 77m elapsed, 30m left)
  seed 78 pass 1/7  (18s/pass, 78m elapsed, 30m left)
  seed 78 pass 2/7  (18s/pass, 78m elapsed, 30m left)
  seed 78 pass 3/7  (18s/pass, 78m elapsed, 29m left)
  seed 78 pass 4/7  (18s/pass, 79m elapsed, 29m left)
  seed 78 pass 5/7  (18s/pass, 79m elapsed, 29m left)
  seed 78 pass 6/7  (18s/pass, 79m elapsed, 28m left)
  seed 78 pass 7/7  (18s/pass, 80m elapsed, 28m left)
  seed 79 pass 1/7  (18s/pass, 80m elapsed, 28m left)
  seed 79 pass 2/7  (18s/pass, 80m elapsed, 27m left)
  seed 79 pass 3/7  (18s/pass, 81m elapsed, 27m left)
  seed 79 pass 4/7  (18s/pass, 81m elapsed, 27m left)
  seed 79 pass 5/7  (18s/pass, 81m elapsed, 26m left)
  seed 79 pass 6/7  (18s/pass, 81m elapsed, 26m left)
  seed 79 pass 7/7  (18s/pass, 82m elapsed, 26m left)
  seed 80 pass 1/7  (18s/pass, 82m elapsed, 25m left)
  seed 80 pass 2/7  (18s/pass, 82m elapsed, 25m left)
  seed 80 pass 3/7  (18s/pass, 83m elapsed, 25m left)
  seed 80 pass 4/7  (18s/pass, 83m elapsed, 25m left)
  seed 80 pass 5/7  (18s/pass, 83m elapsed, 24m left)
  seed 80 pass 6/7  (18s/pass, 84m elapsed, 24m left)
  seed 80 pass 7/7  (18s/pass, 84m elapsed, 24m left)
  seed 81 pass 1/7  (18s/pass, 84m elapsed, 23m left)
  seed 81 pass 2/7  (18s/pass, 85m elapsed, 23m left)
